yyyymmdd,RET_US,RET_DE,RET_JP,RET_BR,RET_RU,RET_IN,RET_CN,NBER_recess_indicator
8/8/1996,-0.002366687,0.00246941,0.006646907,0.014811985,0.014344876,-0.006330199,0.009889945,0
8/9/1996,-0.000739796,-0.004940973,-0.007284687,-0.005528816,0.012795363,-0.002602501,-0.005408186,0
8/12/1996,0.005527664,0.00100518,0.001963059,0.012996112,0.011128381,-0.009212221,0.016718578,0
8/13/1996,-0.008401446,0.004432094,0.006467338,-0.012208995,0.025852169,-0.004759539,-0.012784934,0
8/14/1996,0.002798262,-0.00028751,0.005690077,-9.63E-05,0.031457523,-0.011276344,-0.003532682,0
8/15/1996,0.000347345,0.003008846,-0.00059147,0.019292078,0.035579849,0,-0.006657467,0
8/16/1996,0.004414353,0.000796908,-0.002489264,0.000708589,-0.00912328,-0.0114634,-0.014053054,0
8/19/1996,0.002057382,0.005634788,0.004363149,-0.009616523,-0.023342749,-0.026819914,-0.02222271,0
8/20/1996,-0.001336066,-0.000975987,0.001939353,0.007126372,-0.007225781,0.000900185,-0.016330512,0
8/21/1996,-0.000931798,-0.006473377,0.006910843,-0.003525166,-0.034314627,0.019954637,0.013331576,0
8/22/1996,0.008399825,0.005300934,0.004993985,-0.010490636,0.027976597,-2.94E-05,-0.018924482,0
8/23/1996,-0.005457101,-0.000821529,-0.004135034,-0.007420767,0.006612687,0.009597312,-0.018195186,0
8/26/1996,-0.004733612,-0.001096423,-0.015316098,-0.028552811,-0.000659304,-0.000218425,-0.039765001,0
8/27/1996,0.003788681,0.002535609,0.000157928,0.016126462,0.007883109,0.000960713,0.018672341,0
8/28/1996,-0.002388805,0.001686841,-0.006972556,0.027165564,-0.016549296,0,0.012378565,0
8/29/1996,-0.011208624,-0.001210177,-0.008245744,-0.003947541,0.003210276,0.014100205,-0.0103883,0
8/30/1996,-0.008263437,-0.006359876,-0.010133197,-0.001692021,0.00924099,0.001103998,0.027380089,0
9/2/1996,0,-0.004313824,-0.002477978,-0.004306797,0.015645691,0.002418796,-0.006653262,0
9/3/1996,0.004178439,-0.008767516,0.004180459,0.005998818,-0.008770561,-0.014833435,-0.005783142,0
